"regcode","reglabel","year","sex","site","age_group","age_label","cases","py"
"A5622","Happyland",2009,1,"Cervix uteri",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Corpus uteri",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Ovary",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Prostate",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Testis",1,"00-04",5,72511
"A5622","Happyland",2009,1,"Kidney",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Bladder",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Brain, nervous system",1,"00-04",2,72511
"A5622","Happyland",2009,1,"Thyroid",1,"00-04",0,72511
"A5622","Happyland",2010,1,"Lip, oral cavity",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Other pharynx",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Nasopharynx",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Oesophagus",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Stomach",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Other",1,"00-04",13,72953
"A5622","Happyland",2010,1,"Colorectum",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Liver",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Gallbladder",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Pancreas",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Larynx",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Lung",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Other skin",1,"00-04",1,72953
"A5622","Happyland",2010,1,"Breast",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Vulva",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Vagina",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Cervix uteri",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Corpus uteri",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Ovary",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Prostate",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Testis",1,"00-04",1,72953
"A5622","Happyland",2010,1,"Kidney",1,"00-04",4,72953
"A5622","Happyland",2010,1,"Bladder",1,"00-04",0,72953
"A5622","Happyland",2010,1,"Brain, nervous system",1,"00-04",1,72953
"A5622","Happyland",2010,1,"Thyroid",1,"00-04",0,72953
"A5622","Happyland",2011,1,"Lip, oral cavity",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Other pharynx",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Nasopharynx",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Oesophagus",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Stomach",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Other",1,"00-04",17,74200
"A5622","Happyland",2011,1,"Colorectum",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Liver",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Gallbladder",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Pancreas",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Larynx",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Lung",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Other skin",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Breast",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Vulva",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Vagina",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Cervix uteri",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Corpus uteri",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Ovary",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Prostate",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Testis",1,"00-04",3,74200
"A5622","Happyland",2011,1,"Kidney",1,"00-04",3,74200
"A5622","Happyland",2011,1,"Bladder",1,"00-04",0,74200
"A5622","Happyland",2011,1,"Brain, nervous system",1,"00-04",2,74200
"A5622","Happyland",2011,1,"Thyroid",1,"00-04",0,74200
"A5622","Happyland",2012,1,"Lip, oral cavity",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Other pharynx",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Nasopharynx",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Oesophagus",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Stomach",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Other",1,"00-04",12,75276
"A5622","Happyland",2012,1,"Colorectum",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Liver",1,"00-04",2,75276
"A5622","Happyland",2012,1,"Gallbladder",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Pancreas",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Larynx",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Lung",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Other skin",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Breast",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Vulva",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Vagina",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Cervix uteri",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Corpus uteri",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Ovary",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Prostate",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Testis",1,"00-04",4,75276
"A5622","Happyland",2012,1,"Kidney",1,"00-04",1,75276
"A5622","Happyland",2012,1,"Bladder",1,"00-04",0,75276
"A5622","Happyland",2012,1,"Brain, nervous system",1,"00-04",1,75276
"A5622","Happyland",2012,1,"Thyroid",1,"00-04",0,75276
"A5622","Happyland",2008,1,"Lip, oral cavity",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Other pharynx",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Nasopharynx",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Oesophagus",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Stomach",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Other",2,"05-09",5,73208
"A5622","Happyland",2008,1,"Colorectum",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Liver",2,"05-09",1,73208
"A5622","Happyland",2008,1,"Gallbladder",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Pancreas",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Larynx",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Lung",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Other skin",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Breast",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Vulva",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Vagina",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Cervix uteri",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Corpus uteri",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Ovary",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Prostate",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Testis",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Kidney",2,"05-09",1,73208
"A5622","Happyland",2008,1,"Bladder",2,"05-09",0,73208
"A5622","Happyland",2008,1,"Brain, nervous system",2,"05-09",4,73208
"A5622","Happyland",2008,1,"Thyroid",2,"05-09",0,73208
"A5622","Happyland",2009,1,"Lip, oral cavity",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Other pharynx",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Nasopharynx",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Oesophagus",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Stomach",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Other",2,"05-09",7,73752
"A5622","Happyland",2009,1,"Colorectum",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Liver",2,"05-09",1,73752
"A5622","Happyland",2009,1,"Gallbladder",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Pancreas",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Larynx",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Lung",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Other skin",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Breast",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Vulva",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Vagina",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Cervix uteri",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Corpus uteri",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Ovary",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Prostate",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Testis",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Kidney",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Bladder",2,"05-09",0,73752
"A5622","Happyland",2009,1,"Brain, nervous system",2,"05-09",1,73752
"A5622","Happyland",2009,1,"Thyroid",2,"05-09",0,73752
"A5622","Happyland",2010,1,"Lip, oral cavity",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Other pharynx",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Nasopharynx",2,"05-09",1,74281
"A5622","Happyland",2010,1,"Oesophagus",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Stomach",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Other",2,"05-09",13,74281
"A5622","Happyland",2010,1,"Colorectum",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Liver",2,"05-09",1,74281
"A5622","Happyland",2010,1,"Gallbladder",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Pancreas",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Larynx",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Lung",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Other skin",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Breast",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Vulva",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Vagina",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Cervix uteri",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Corpus uteri",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Ovary",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Prostate",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Testis",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Kidney",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Bladder",2,"05-09",0,74281
"A5622","Happyland",2010,1,"Brain, nervous system",2,"05-09",2,74281
"A5622","Happyland",2010,1,"Thyroid",2,"05-09",0,74281
"A5622","Happyland",2011,1,"Lip, oral cavity",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Other pharynx",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Nasopharynx",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Oesophagus",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Stomach",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Other",2,"05-09",8,75551
"A5622","Happyland",2011,1,"Colorectum",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Liver",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Gallbladder",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Pancreas",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Larynx",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Lung",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Other skin",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Breast",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Vulva",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Vagina",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Cervix uteri",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Corpus uteri",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Ovary",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Prostate",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Testis",2,"05-09",1,75551
"A5622","Happyland",2011,1,"Kidney",2,"05-09",1,75551
"A5622","Happyland",2011,1,"Bladder",2,"05-09",0,75551
"A5622","Happyland",2011,1,"Brain, nervous system",2,"05-09",2,75551
"A5622","Happyland",2011,1,"Thyroid",2,"05-09",0,75551
"A5622","Happyland",2012,1,"Lip, oral cavity",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Other pharynx",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Nasopharynx",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Oesophagus",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Stomach",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Other",2,"05-09",5,76646
"A5622","Happyland",2012,1,"Colorectum",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Liver",2,"05-09",1,76646
"A5622","Happyland",2012,1,"Gallbladder",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Pancreas",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Larynx",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Lung",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Other skin",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Breast",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Vulva",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Vagina",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Cervix uteri",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Corpus uteri",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Ovary",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Prostate",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Testis",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Kidney",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Bladder",2,"05-09",0,76646
"A5622","Happyland",2012,1,"Brain, nervous system",2,"05-09",1,76646
"A5622","Happyland",2012,1,"Thyroid",2,"05-09",1,76646
"A5622","Happyland",2008,1,"Lip, oral cavity",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Other pharynx",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Nasopharynx",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Oesophagus",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Stomach",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Other",3,"10-14",10,72233
"A5622","Happyland",2008,1,"Colorectum",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Liver",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Gallbladder",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Pancreas",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Larynx",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Lung",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Other skin",3,"10-14",1,72233
"A5622","Happyland",2008,1,"Breast",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Vulva",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Vagina",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Cervix uteri",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Corpus uteri",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Ovary",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Prostate",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Testis",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Kidney",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Bladder",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Brain, nervous system",3,"10-14",0,72233
"A5622","Happyland",2008,1,"Thyroid",3,"10-14",0,72233
"A5622","Happyland",2009,1,"Lip, oral cavity",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Other pharynx",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Nasopharynx",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Oesophagus",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Stomach",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Other",3,"10-14",10,72844
"A5622","Happyland",2009,1,"Colorectum",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Liver",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Gallbladder",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Pancreas",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Larynx",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Lung",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Other skin",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Breast",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Vulva",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Vagina",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Cervix uteri",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Corpus uteri",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Ovary",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Prostate",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Testis",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Kidney",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Bladder",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Brain, nervous system",3,"10-14",0,72844
"A5622","Happyland",2009,1,"Thyroid",3,"10-14",0,72844
"A5622","Happyland",2010,1,"Lip, oral cavity",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Other pharynx",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Nasopharynx",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Oesophagus",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Stomach",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Other",3,"10-14",5,73442
"A5622","Happyland",2010,1,"Colorectum",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Liver",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Gallbladder",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Pancreas",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Larynx",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Lung",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Other skin",3,"10-14",1,73442
"A5622","Happyland",2010,1,"Breast",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Vulva",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Vagina",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Cervix uteri",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Corpus uteri",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Ovary",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Prostate",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Testis",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Kidney",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Bladder",3,"10-14",0,73442
"A5622","Happyland",2010,1,"Brain, nervous system",3,"10-14",3,73442
"A5622","Happyland",2010,1,"Thyroid",3,"10-14",0,73442
"A5622","Happyland",2011,1,"Lip, oral cavity",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Other pharynx",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Nasopharynx",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Oesophagus",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Stomach",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Other",3,"10-14",8,74697
"A5622","Happyland",2011,1,"Colorectum",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Liver",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Gallbladder",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Pancreas",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Larynx",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Lung",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Other skin",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Breast",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Vulva",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Vagina",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Cervix uteri",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Corpus uteri",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Ovary",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Prostate",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Testis",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Kidney",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Bladder",3,"10-14",0,74697
"A5622","Happyland",2011,1,"Brain, nervous system",3,"10-14",2,74697
"A5622","Happyland",2011,1,"Thyroid",3,"10-14",0,74697
"A5622","Happyland",2012,1,"Lip, oral cavity",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Other pharynx",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Nasopharynx",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Oesophagus",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Stomach",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Other",3,"10-14",13,75781
"A5622","Happyland",2012,1,"Colorectum",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Liver",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Gallbladder",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Pancreas",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Larynx",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Lung",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Other skin",3,"10-14",1,75781
"A5622","Happyland",2012,1,"Breast",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Vulva",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Vagina",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Cervix uteri",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Corpus uteri",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Ovary",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Prostate",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Testis",3,"10-14",1,75781
"A5622","Happyland",2012,1,"Kidney",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Bladder",3,"10-14",0,75781
"A5622","Happyland",2012,1,"Brain, nervous system",3,"10-14",2,75781
"A5622","Happyland",2012,1,"Thyroid",3,"10-14",0,75781
"A5622","Happyland",2008,1,"Lip, oral cavity",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Other pharynx",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Nasopharynx",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Oesophagus",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Stomach",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Other",4,"15-19",10,72077
"A5622","Happyland",2008,1,"Colorectum",4,"15-19",2,72077
"A5622","Happyland",2008,1,"Liver",4,"15-19",1,72077
"A5622","Happyland",2008,1,"Gallbladder",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Pancreas",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Larynx",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Lung",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Other skin",4,"15-19",1,72077
"A5622","Happyland",2008,1,"Breast",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Vulva",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Vagina",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Cervix uteri",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Corpus uteri",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Ovary",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Prostate",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Testis",4,"15-19",5,72077
"A5622","Happyland",2008,1,"Kidney",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Bladder",4,"15-19",0,72077
"A5622","Happyland",2008,1,"Brain, nervous system",4,"15-19",2,72077
"A5622","Happyland",2008,1,"Thyroid",4,"15-19",1,72077
"A5622","Happyland",2009,1,"Lip, oral cavity",4,"15-19",0,72386
"A5622","Happyland",2009,1,"Other pharynx",4,"15-19",0,72386
"A5622","Happyland",2009,1,"Nasopharynx",4,"15-19",0,72386
"A5622","Happyland",2009,1,"Oesophagus",4,"15-19",0,72386
"A5622","Happyland",2009,1,"Stomach",4,"15-19",0,72386
"A5622","Happyland",2009,1,"Other",4,"15-19",14,72386
"A5622","Happyland",2009,1,"Colorectum",4,"15-19",0,72386
"A5622","Happyland",2009,1,"Liver",4,"15-19",0,72386
"A5622","Happyland",2009,1,"Gallbladder",4,"15-19",0,72386
"A5622","Happyland",2009,1,"Pancreas",4,"15-19",0,72386
"A5622","Happyland",2009,1,"Larynx",4,"15-19",0,72386
